Habitat_patch,Habitat_Type,TC,SpeciesName,Count
11,Hard,15:37:16,Unidentified Sebastomus sp.,1.0
11,Hard,15:37:20,Sebastes hopkinsi,3.0
11,Hard,15:37:30,Unidentified Sebastes sp.,23.0
11,Hard,15:37:35,Unidentified Sebastomus sp.,1.0
11,Hard,15:37:51,Sebastes mystinus,4.0
11,Hard,15:38:02,Sebastes hopkinsi,1.0
11,Hard,15:38:08,Unidentified Sebastes sp.,2.0
12,Hard_Mixed,15:38:14,Unidentified Sebastes sp.,10.0
12,Hard_Mixed,15:38:43,Unidentified Sebastes sp.,2.0
13,Soft,15:38:51,Unidentified Sebastes sp.,1.0
14,Hard,15:39:19,Unidentified Sebastomus sp.,1.0
14,Hard,15:39:35,Sebastes miniatus,1.0
14,Hard,15:39:46,Unidentified Sebastes sp.,20.0
14,Hard,15:40:01,Unidentified Sebastes sp.,27.0
14,Hard,15:40:13,Sebastes serranoides or flavidus,1.0
14,Hard,15:40:14,Sebastes mystinus,1.0
14,Hard,15:40:14,Sebastes serranoides or flavidus,1.0
14,Hard,15:44:36,Unidentified Sebastes sp.,1.0
14,Hard,15:44:48,Unidentified Sebastes sp.,1.0
14,Hard,15:45:55,Sebastes hopkinsi,3.0
14,Hard,15:46:18,Sebastes hopkinsi,6.2
14,Hard,15:46:19,Sebastes hopkinsi,6.2
14,Hard,15:46:20,Sebastes hopkinsi,6.2
14,Hard,15:46:21,Sebastes hopkinsi,6.2
14,Hard,15:46:22,Sebastes hopkinsi,6.2
14,Hard,15:46:23,Sebastes hopkinsi,6.2
14,Hard,15:46:24,Sebastes hopkinsi,6.2
14,Hard,15:46:25,Sebastes hopkinsi,6.2
14,Hard,15:46:26,Sebastes hopkinsi,6.2
14,Hard,15:47:05,Sebastes hopkinsi,18.0
14,Hard,15:47:33,Unidentified Sebastes sp.,2.0
14,Hard,15:50:04,Sebastes hopkinsi,0.6
14,Hard,15:50:05,Sebastes hopkinsi,0.6
14,Hard,15:50:06,Sebastes hopkinsi,0.6
14,Hard,15:50:07,Sebastes hopkinsi,0.6
14,Hard,15:50:08,Sebastes hopkinsi,0.6
14,Hard,15:50:09,Sebastes hopkinsi,0.6
14,Hard,15:50:10,Sebastes hopkinsi,0.6
14,Hard,15:50:11,Sebastes hopkinsi,0.6
14,Hard,15:50:12,Sebastes hopkinsi,0.6
14,Hard,15:50:16,Unidentified Sebastes sp.,1.0
14,Hard,15:50:34,Unidentified Sebastomus sp.,1.0
14,Hard,15:50:45,Unidentified Sebastes sp.,1.0
15,Hard_Mixed,15:51:57,Unidentified Sebastomus sp.,1.0
16,Hard,15:53:55,Sebastes serranoides or flavidus,1.0
16,Hard,15:54:46,Sebastes hopkinsi,2.0
16,Hard,15:54:49,Unidentified Sebastomus sp.,1.0
16,Hard,15:54:58,Sebastes hopkinsi,2.0
16,Hard,15:55:14,Sebastes pinniger,1.0
17,Hard_Mixed,15:56:09,Sebastes pinniger,1.0
18,Soft,15:56:51,Zalembius rosaceus,6.0
19,Hard_Mixed,15:57:39,Unidentified Sebastomus sp.,1.0
20,Hard,15:58:02,Unidentified Sebastomus sp.,2.0
21,Hard_Mixed,15:58:08,Unidentified Sebastomus sp.,2.0
22,Soft,15:58:22,Unidentified Sebastes sp.,6.0
23,Hard,15:59:39,Unidentified Sebastomus sp.,1.0
23,Hard,15:59:46,Sebastes serranoides or flavidus,1.0
23,Hard,15:59:51,Unidentified Sebastomus sp.,1.0
23,Hard,16:00:08,Sebastes miniatus,1.0
24,Hard_Mixed,16:00:53,Unidentified Sebastes sp.,1.0
25,Hard,16:00:58,Unidentified Sebastomus sp.,1.0
25,Hard,16:01:00,Sebastes serranoides or flavidus,1.0
26,Hard_Mixed,16:04:59,Unidentified Sebastes sp.,5.6
27,Hard,16:05:00,Unidentified Sebastes sp.,5.6
27,Hard,16:05:01,Unidentified Sebastes sp.,5.6
27,Hard,16:05:02,Unidentified Sebastes sp.,5.6
27,Hard,16:05:03,Unidentified Sebastes sp.,5.6
27,Hard,16:05:04,Unidentified Sebastes sp.,5.6
27,Hard,16:05:05,Unidentified Sebastes sp.,5.6
27,Hard,16:05:06,Unidentified Sebastes sp.,5.6
27,Hard,16:05:07,Unidentified Sebastes sp.,5.6
27,Hard,16:05:11,Unidentified Sebastomus sp.,1.0
28,Hard_Mixed,16:05:48,Unidentified Sebastomus sp.,2.0
29,Hard,16:14:50,Sebastes mystinus,1.0
29,Hard,16:14:50,Sebastes serranoides or flavidus,1.0
29,Hard,16:14:58,Oxylebius pictus,1.0
29,Hard,16:15:06,Unidentified Sebastes sp.,1.0
29,Hard,16:15:15,Unidentified Sebastes sp.,1.0
30,Soft,16:16:06,Sebastes mystinus,1.0
30,Soft,16:18:02,Sebastes mystinus,1.0
31,Hard,16:18:04,Sebastes mystinus,1.0
31,Hard,16:18:07,Unidentified Sebastes sp.,1.0
31,Hard,16:18:09,Sebastes mystinus,1.0
31,Hard,16:18:12,Sebastes mystinus,20.0
31,Hard,16:19:20,Unidentified Sebastes sp.,3.0
31,Hard,16:19:27,Sebastes mystinus,2.0
31,Hard,16:19:32,Unidentified Sebastes sp.,1.0
31,Hard,16:19:37,Unidentified Sebastes sp.,2.0
32,Soft,16:20:25,Unidentified Sebastes sp.,1.0
33,Hard,16:20:41,Unidentified Sebastomus sp.,1.0
33,Hard,16:20:44,Unidentified Sebastomus sp.,1.0
33,Hard,16:20:54,Unidentified Sebastes sp.,1.0
34,Soft,16:21:12,Unidentified Embiotocidae,2.0
34,Soft,16:21:19,Unidentified Sebastes sp.,1.0
35,Hard,16:21:53,Unidentified Sebastes sp.,14.0
35,Hard,16:22:11,Unidentified Sebastomus sp.,1.0
35,Hard,16:22:12,Sebastes serranoides or flavidus,1.0
35,Hard,16:22:16,Unidentified Sebastes sp.,1.0
35,Hard,16:22:25,Unidentified Sebastomus sp.,1.0
35,Hard,16:22:37,Unidentified Sebastes sp.,2.0
35,Hard,16:23:28,Unidentified Sebastomus sp.,1.0
35,Hard,16:23:31,Unidentified Sebastomus sp.,1.0
35,Hard,16:23:36,Unidentified Sebastomus sp.,1.0
35,Hard,16:24:24,Unidentified Sebastes sp.,5.0
35,Hard,16:24:26,Sebastes serranoides or flavidus,1.0
35,Hard,16:24:46,Unidentified Sebastes sp.,1.0
35,Hard,16:24:48,Ophiodon elongatus,1.0
35,Hard,16:24:56,Unidentified Sebastomus sp.,1.0
36,Hard_Mixed,16:25:04,Unidentified Sebastes sp.,1.0
36,Hard_Mixed,16:25:06,Unidentified Sebastomus sp.,1.0
36,Hard_Mixed,16:25:12,Unidentified Sebastomus sp.,1.0
37,Hard,16:25:19,Unidentified Sebastes sp.,1.0
38,Hard_Mixed,16:25:34,Unidentified Sebastes sp.,1.0
39,Hard,16:31:04,Unidentified Sebastomus sp.,1.0
39,Hard,16:31:34,Sebastes hopkinsi,0.6
39,Hard,16:31:35,Sebastes hopkinsi,0.6
39,Hard,16:31:36,Sebastes hopkinsi,0.6
39,Hard,16:31:37,Sebastes hopkinsi,0.6
39,Hard,16:31:38,Sebastes hopkinsi,0.6
39,Hard,16:31:39,Sebastes hopkinsi,0.6
39,Hard,16:31:40,Sebastes hopkinsi,0.6
39,Hard,16:31:41,Sebastes hopkinsi,0.6
39,Hard,16:31:42,Sebastes hopkinsi,0.6
39,Hard,16:31:43,Sebastes hopkinsi,0.6
39,Hard,16:31:48,Sebastes mystinus,1.0
39,Hard,16:32:05,Unidentified Sebastomus sp.,1.0
39,Hard,16:32:08,Unidentified Sebastomus sp.,1.0
39,Hard,16:32:19,Sebastes mystinus,2.0
39,Hard,16:32:34,Sebastes serranoides or flavidus,1.0
39,Hard,16:32:39,Sebastes mystinus,0.3
39,Hard,16:32:40,Sebastes mystinus,0.3
39,Hard,16:32:41,Sebastes mystinus,0.3
39,Hard,16:32:42,Sebastes mystinus,0.3
39,Hard,16:32:43,Sebastes mystinus,0.3
39,Hard,16:32:44,Sebastes mystinus,0.3
39,Hard,16:33:17,Unidentified Sebastes sp.,1.0
39,Hard,16:33:44,Unidentified Sebastes sp.,1.0
40,Soft,16:34:16,Ophiodon elongatus,1.0
41,Hard,16:35:14,Unidentified Sebastomus sp.,1.0
41,Hard,16:35:17,Sebastes miniatus,1.0
41,Hard,16:35:17,Sebastes mystinus,2.0
41,Hard,16:35:34,Sebastes mystinus,3.0
41,Hard,16:35:40,Unidentified Sebastomus sp.,1.0
41,Hard,16:35:44,Unidentified Sebastes sp.,1.0
41,Hard,16:35:45,Unidentified Sebastomus sp.,2.0
41,Hard,16:35:58,Sebastes serranoides or flavidus,1.0
42,Soft,16:38:27,Sebastes serranoides or flavidus,1.0
43,Hard_Mixed,16:38:39,Unidentified Sebastomus sp.,1.0
44,Soft,16:38:50,Sebastes mystinus,1.0
45,Hard,16:39:00,Unidentified Sebastomus sp.,1.0
45,Hard,16:39:09,Sebastes serranoides or flavidus,1.0
45,Hard,16:39:11,Sebastes serranoides or flavidus,1.0
45,Hard,16:39:16,Sebastes serranoides or flavidus,1.0
45,Hard,16:39:43,Ophiodon elongatus,1.0
45,Hard,16:41:18,Unidentified Sebastes sp.,2.0
45,Hard,16:46:59,Unidentified Sebastes sp.,1.0
45,Hard,16:46:59,Unidentified Sebastomus sp.,1.0
45,Hard,16:48:25,Unidentified Sebastomus sp.,1.0
45,Hard,16:48:30,Sebastes mystinus,1.0
45,Hard,16:48:35,Unidentified Sebastes sp.,1.0
45,Hard,16:48:37,Sebastes mystinus,1.0
46,Soft,16:49:48,Unidentified Pleuronectidae,1.0
46,Soft,16:51:00,Unidentified Pleuronectidae,1.0
46,Soft,16:51:32,Ophiodon elongatus,1.0
47,Hard,16:55:01,Sebastes pinniger,1.0
47,Hard,16:55:02,Sebastes pinniger,1.0
47,Hard,16:57:07,Unidentified Sebastomus sp.,1.0
47,Hard,16:57:19,Unidentified Sebastomus sp.,1.0
47,Hard,16:57:50,Unidentified Sebastomus sp.,1.0
47,Hard,16:58:02,Unidentified Sebastomus sp.,1.0
47,Hard,16:58:12,Unidentified Sebastes sp.,13.0
47,Hard,16:58:22,Unidentified Sebastomus sp.,1.0
47,Hard,16:58:27,Unidentified Sebastomus sp.,1.0
47,Hard,16:58:45,Unidentified Sebastes sp.,2.0
47,Hard,16:59:09,Oxylebius pictus,1.0
47,Hard,17:00:48,Sebastes miniatus,1.0
47,Hard,17:01:10,Sebastes mystinus,1.0
47,Hard,17:01:18,Sebastes mystinus,1.0
47,Hard,17:02:02,Unidentified Sebastomus sp.,1.0
47,Hard,17:04:20,Unidentified Sebastomus sp.,1.0
47,Hard,17:04:54,Sebastes mystinus,1.0
47,Hard,17:04:54,Unidentified Sebastes sp.,1.0
47,Hard,17:04:58,Unidentified Sebastes sp.,2.0
47,Hard,17:05:02,Unidentified Sebastes sp.,6.0
47,Hard,17:05:03,Sebastes mystinus,1.0
47,Hard,17:05:18,Sebastes mystinus,1.0
47,Hard,17:05:22,Sebastes mystinus,1.0
48,Hard_Mixed,17:05:35,Sebastes hopkinsi,5.0
49,Hard,17:05:49,Sebastes hopkinsi,3.0
49,Hard,17:05:50,Unidentified Sebastes sp.,10.0
49,Hard,17:05:57,Sebastes hopkinsi,1.0
49,Hard,17:07:21,Sebastes nebulosus,1.0
49,Hard,17:07:38,Oxylebius pictus,1.0
49,Hard,17:07:54,Unidentified Sebastes sp.,40.0
50,Hard_Mixed,17:08:10,Sebastes serranoides or flavidus,1.0
50,Hard_Mixed,17:08:17,Unidentified Sebastomus sp.,1.0
51,Hard,17:08:44,Unidentified Sebastes sp.,1.0
51,Hard,17:09:22,Sebastes mystinus,1.0
51,Hard,17:09:31,Sebastes mystinus,1.0
51,Hard,17:09:32,Sebastes mystinus,2.0
51,Hard,17:10:21,Sebastes serranoides or flavidus,1.0
51,Hard,17:10:45,Unidentified Sebastes sp.,11.0
51,Hard,17:10:45,Unidentified Sebastomus sp.,1.0
51,Hard,17:11:48,Unidentified Sebastomus sp.,1.0
51,Hard,17:12:16,Sebastes mystinus,1.0
51,Hard,17:12:21,Unidentified Sebastes sp.,1.0
51,Hard,17:12:47,Unidentified Sebastomus sp.,1.0
51,Hard,17:12:49,Unidentified Sebastes sp.,2.0
51,Hard,17:12:54,Unidentified Sebastes sp.,1.0
52,Hard_Mixed,17:13:03,Unidentified Sebastomus sp.,1.0
53,Soft,17:13:24,Sebastes hopkinsi,1.0
54,Hard,17:13:54,Unidentified Sebastomus sp.,1.0
55,Hard_Mixed,17:22:16,Sebastes miniatus,1.0
56,Hard,17:22:50,Unidentified Sebastomus sp.,1.0
56,Hard,17:23:36,Unidentified Sebastes sp.,1.0
56,Hard,17:24:22,Unidentified Sebastes sp.,2.0
57,Hard_Mixed,17:24:48,Unidentified Sebastes sp.,3.0
58,Hard,17:25:43,Unidentified Sebastes sp.,1.0
58,Hard,17:26:32,Unidentified Sebastes sp.,1.2
58,Hard,17:26:33,Unidentified Sebastes sp.,1.2
58,Hard,17:26:34,Unidentified Sebastes sp.,1.2
58,Hard,17:26:35,Unidentified Sebastes sp.,1.2
58,Hard,17:26:36,Unidentified Sebastes sp.,1.2
58,Hard,17:26:37,Unidentified Sebastes sp.,1.2
58,Hard,17:26:38,Unidentified Sebastes sp.,1.2
58,Hard,17:26:39,Unidentified Sebastes sp.,1.2
58,Hard,17:26:51,Unidentified Sebastomus sp.,1.0
58,Hard,17:28:53,Unidentified Sebastes sp.,2.0
58,Hard,17:28:55,Unidentified Sebastomus sp.,1.0
58,Hard,17:29:58,Unidentified Sebastes sp.,1.0
58,Hard,17:30:45,Sebastes serranoides or flavidus,1.0
58,Hard,17:30:49,Oxylebius pictus,1.0
59,Soft,17:35:33,Unidentified Pleuronectidae,1.0
60,Hard_Mixed,17:36:38,Sebastes pinniger,1.0
60,Hard_Mixed,17:39:58,Sebastes mystinus,2.0
61,Hard,17:59:32,Unidentified Sebastes sp.,2.0
61,Hard,17:59:41,Unidentified Sebastes sp.,2.0
61,Hard,17:59:49,Unidentified Sebastes sp.,1.0
62,Hard_Mixed,17:59:54,Unidentified Sebastes sp.,1.0
63,Hard,18:00:00,Hexagrammos decagrammus,1.0
63,Hard,18:00:01,Sebastes mystinus,1.0
64,Hard_Mixed,18:01:39,Sebastes mystinus,1.0
65,Hard,18:01:44,Sebastes mystinus,1.0
66,Hard_Mixed,18:01:50,Sebastes mystinus,1.0
67,Hard,18:01:55,Sebastes mystinus,1.0
67,Hard,18:01:56,Sebastes mystinus,1.0
67,Hard,18:02:07,Sebastes mystinus,1.0
67,Hard,18:02:09,Sebastes mystinus,1.0
67,Hard,18:02:29,Phanerodon furcatus,3.0
67,Hard,18:04:10,Sebastes mystinus,1.0
67,Hard,18:04:13,Sebastes mystinus,1.0
67,Hard,18:04:14,Sebastes mystinus,1.0
67,Hard,18:04:23,Sebastes mystinus,1.0
68,Hard_Mixed,18:04:55,Sebastes mystinus,1.0
68,Hard_Mixed,18:04:57,Sebastes mystinus,1.0
69,Soft,18:04:58,Phanerodon furcatus,1.0
69,Soft,18:04:58,Sebastes mystinus,1.0
69,Soft,18:04:58,Sebastes serranoides or flavidus,1.0
70,Hard,18:05:05,Unidentified Sebastes sp.,1.0
70,Hard,18:05:07,Phanerodon furcatus,1.0
70,Hard,18:05:07,Sebastes mystinus,1.0
71,Hard_Mixed,18:05:19,Unidentified Sebastes sp.,1.0
72,Hard,18:05:29,Sebastes mystinus,1.0
72,Hard,18:05:31,Sebastes hopkinsi,1.0
72,Hard,18:05:31,Unidentified Sebastes sp.,8.0
73,Hard_Mixed,18:05:53,Unidentified Sebastes sp.,1.0
74,Hard,18:06:07,Unidentified Sebastes sp.,1.0
74,Hard,18:06:09,Unidentified Sebastomus sp.,1.0
74,Hard,18:06:12,Sebastes hopkinsi,1.0
74,Hard,18:06:21,Unidentified Sebastomus sp.,1.0
74,Hard,18:06:29,Unidentified Sebastomus sp.,1.0
74,Hard,18:06:43,Unidentified Sebastes sp.,11.0
75,Hard_Mixed,18:07:06,Unidentified Sebastes sp.,3.0
76,Hard,18:07:29,Sebastes serranoides or flavidus,1.0
77,Hard_Mixed,18:07:35,Unidentified Sebastomus sp.,1.0
78,Hard,18:07:36,Unidentified Sebastes sp.,2.0
78,Hard,18:07:38,Unidentified Sebastes sp.,1.0
78,Hard,18:07:44,Ophiodon elongatus,1.0
78,Hard,18:07:58,Sebastes hopkinsi,1.0
78,Hard,18:08:07,Sebastes mystinus,2.0
78,Hard,18:08:08,Unidentified Sebastes sp.,1.0
78,Hard,18:08:17,Unidentified Sebastes sp.,1.0
78,Hard,18:08:24,Sebastes hopkinsi,1.0
78,Hard,18:08:37,Sebastes hopkinsi,2.0
78,Hard,18:09:00,Sebastes mystinus,1.0
78,Hard,18:09:08,Sebastes mystinus,1.0
78,Hard,18:10:26,Unidentified Sebastes sp.,1.0
78,Hard,18:10:44,Unidentified Sebastes sp.,1.0
78,Hard,18:10:55,Unidentified Sebastes sp.,1.0
79,Hard_Mixed,18:11:16,Unidentified Sebastes sp.,1.0
79,Hard_Mixed,18:11:24,Unidentified Sebastomus sp.,1.0
80,Hard,18:11:28,Oxylebius pictus,1.0
80,Hard,18:11:40,Unidentified Sebastes sp.,1.0
80,Hard,18:11:59,Sebastes hopkinsi,1.0
80,Hard,18:16:21,Ophiodon elongatus,1.0
80,Hard,18:17:09,Rhacochilus vacca,1.0
80,Hard,18:17:12,Sebastes mystinus,1.0
80,Hard,18:17:17,Sebastes paucispinis,1.0
80,Hard,18:17:18,Phanerodon furcatus,16.0
80,Hard,18:17:26,Semicossyphus pulcher,1.0
80,Hard,18:18:19,Sebastes mystinus,2.0
80,Hard,18:18:26,Sebastes mystinus,0.6
80,Hard,18:18:27,Sebastes mystinus,0.6
80,Hard,18:18:36,Sebastes mystinus,0.6
80,Hard,18:18:37,Sebastes mystinus,0.6
80,Hard,18:18:38,Sebastes mystinus,0.6
80,Hard,18:18:39,Sebastes mystinus,0.6
80,Hard,18:18:40,Sebastes mystinus,0.6
80,Hard,18:18:47,Phanerodon furcatus,1.0
80,Hard,18:18:52,Sebastes mystinus,1.0
80,Hard,18:19:18,Sebastes hopkinsi,1.0
80,Hard,18:19:40,Sebastes serranoides or flavidus,1.0
80,Hard,18:19:51,Sebastes serranoides or flavidus,1.0
80,Hard,18:21:03,Unidentified Sebastomus sp.,1.0
80,Hard,18:21:21,Sebastes hopkinsi,1.0
80,Hard,18:21:55,Unidentified Embiotocidae,4.0
80,Hard,18:21:57,Sebastes mystinus,1.0
80,Hard,18:22:04,Sebastes serranoides or flavidus,1.0
80,Hard,18:22:06,Sebastes mystinus,1.0
80,Hard,18:22:25,Sebastes mystinus,0.6
80,Hard,18:22:26,Sebastes mystinus,0.6
80,Hard,18:22:27,Sebastes mystinus,0.6
80,Hard,18:22:28,Sebastes mystinus,0.6
80,Hard,18:22:29,Sebastes mystinus,0.6
80,Hard,18:22:42,Sebastes mystinus,2.0
81,Soft,18:23:24,Sebastes mystinus,1.0
81,Soft,18:23:30,Sebastes mystinus,2.0
82,Hard_Mixed,18:23:37,Sebastes serranoides or flavidus,2.0
83,Hard,18:23:56,Unidentified Sebastomus sp.,1.0
83,Hard,18:23:59,Sebastes serranoides or flavidus,1.0
83,Hard,18:24:07,Sebastes serranoides or flavidus,1.0
83,Hard,18:24:14,Unidentified Sebastomus sp.,1.0
83,Hard,18:24:25,Sebastes hopkinsi,4.0
83,Hard,18:24:51,Sebastes hopkinsi,1.0
84,Soft,18:25:46,Unidentified Sebastes sp.,1.0
85,Hard,18:27:01,Sebastes serranoides or flavidus,1.0
85,Hard,18:27:18,Sebastes miniatus,1.0
85,Hard,18:27:40,Sebastes hopkinsi,1.0
86,Hard_Mixed,18:28:06,Sebastes mystinus,1.0
87,Hard,18:29:19,Unidentified Sebastes sp.,26.0
87,Hard,18:29:31,Unidentified Sebastes sp.,15.0
87,Hard,18:29:35,Sebastes serranoides or flavidus,1.0
87,Hard,18:30:01,Sebastes mystinus,1.0
87,Hard,18:30:05,Sebastes serranoides or flavidus,1.0
88,Hard_Mixed,18:40:32,Sebastes serranoides or flavidus,2.0
89,Hard,18:40:35,Sebastes mystinus,3.0
89,Hard,18:40:42,Hexagrammos decagrammus,1.0
90,Soft,18:41:57,Unidentified Embiotocidae,1.0
91,Hard_Mixed,18:41:59,Unidentified Sebastomus sp.,1.0
92,Hard,18:42:04,Unidentified Sebastes sp.,1.0
93,Hard_Mixed,18:42:58,Sebastes pinniger,1.0
94,Soft,18:43:09,Sebastes pinniger,1.0
95,Hard_Mixed,18:43:21,Sebastes mystinus,1.0
96,Hard,18:43:23,Rhacochilus vacca,1.0
97,Hard_Mixed,18:43:30,Sebastes serranoides or flavidus,1.0
97,Hard_Mixed,18:43:32,Rhacochilus vacca,1.0
97,Hard_Mixed,18:43:32,Sebastes serranoides or flavidus,1.0
97,Hard_Mixed,18:43:35,Sebastes mystinus,1.0
97,Hard_Mixed,18:43:40,Unidentified Sebastes sp.,1.0
97,Hard_Mixed,18:43:50,Sebastes serranoides or flavidus,1.0
97,Hard_Mixed,18:43:52,Sebastes serranoides or flavidus,2.0
97,Hard_Mixed,18:43:54,Sebastes serranoides or flavidus,1.0
97,Hard_Mixed,18:43:56,Rhacochilus vacca,15.0
98,Hard,18:44:05,Unidentified Sebastes sp.,11.0
99,Hard_Mixed,18:44:10,Unidentified Sebastes sp.,2.0
100,Hard,18:44:15,Sebastes hopkinsi,1.0
101,Hard_Mixed,18:44:20,Unidentified Sebastes sp.,1.0
101,Hard_Mixed,18:44:21,Sebastes hopkinsi,1.0
101,Hard_Mixed,18:44:21,Unidentified Sebastes sp.,7.0
101,Hard_Mixed,18:44:35,Sebastes mystinus,1.0
102,Hard,18:44:44,Sebastes mystinus,1.0
103,Hard_Mixed,18:44:54,Sebastes mystinus,1.0
103,Hard_Mixed,18:45:00,Unidentified Sebastes sp.,2.0
104,Hard,18:45:05,Unidentified Sebastes sp.,11.0
104,Hard,18:45:22,Sebastes serranoides or flavidus,1.0
104,Hard,18:45:32,Unidentified Sebastes sp.,1.0
104,Hard,18:45:33,Hexagrammos decagrammus,1.0
104,Hard,18:46:28,Sebastes hopkinsi,1.0
104,Hard,18:46:33,Unidentified Sebastes sp.,8.0
104,Hard,18:46:38,Sebastes mystinus,3.0
104,Hard,18:47:39,Unidentified Sebastes sp.,16.0
104,Hard,18:47:51,Sebastes mystinus,5.0
104,Hard,18:48:08,Sebastes mystinus,2.0
105,Hard_Mixed,18:48:41,Unidentified Sebastes sp.,1.0
105,Hard_Mixed,18:48:42,Unidentified Embiotocidae,3.0
105,Hard_Mixed,18:48:59,Unidentified Sebastes sp.,2.0
105,Hard_Mixed,18:49:02,Unidentified Sebastomus sp.,1.0
106,Hard,18:49:23,Hexagrammos decagrammus,1.0
106,Hard,18:49:26,Sebastes hopkinsi,2.0
106,Hard,18:49:40,Ophiodon elongatus,1.0
106,Hard,18:49:43,Unidentified Sebastes sp.,1.0
106,Hard,18:49:47,Unidentified Sebastes sp.,6.0
106,Hard,18:49:52,Unidentified Sebastes sp.,8.0
106,Hard,18:50:10,Unidentified Sebastes sp.,5.0
106,Hard,18:50:26,Unidentified Sebastes sp.,7.0
106,Hard,18:50:54,Unidentified Embiotocidae,1.0
106,Hard,18:51:14,Sebastes mystinus,1.0
106,Hard,18:51:32,Unidentified Sebastes sp.,2.0
106,Hard,18:59:17,Sebastes mystinus,0.8
106,Hard,18:59:18,Sebastes mystinus,0.8
106,Hard,18:59:19,Sebastes mystinus,0.8
106,Hard,18:59:20,Sebastes mystinus,0.8
106,Hard,18:59:20,Unidentified Embiotocidae,1.0
106,Hard,18:59:21,Sebastes mystinus,0.8
106,Hard,18:59:22,Rhacochilus vacca,1.0
106,Hard,18:59:22,Sebastes mystinus,0.8
106,Hard,18:59:23,Sebastes mystinus,0.8
106,Hard,18:59:24,Sebastes mystinus,0.8
106,Hard,18:59:25,Sebastes mystinus,0.8
106,Hard,18:59:26,Sebastes mystinus,0.8
106,Hard,18:59:27,Sebastes mystinus,0.8
106,Hard,18:59:28,Sebastes mystinus,0.8
106,Hard,18:59:29,Sebastes mystinus,0.8
106,Hard,18:59:30,Sebastes mystinus,0.8
106,Hard,18:59:57,Unidentified Sebastes sp.,1.0
106,Hard,19:00:23,Sebastes mystinus,1.0
106,Hard,19:00:32,Unidentified Embiotocidae,1.0
106,Hard,19:03:53,Unidentified Sebastes sp.,1.0
106,Hard,19:05:01,Unidentified Sebastes sp.,1.0
106,Hard,19:05:02,Unidentified Embiotocidae,1.0
106,Hard,19:05:10,Unidentified Sebastes sp.,7.0
106,Hard,19:05:21,Oxylebius pictus,1.0
106,Hard,19:07:28,Unidentified Sebastes sp.,3.0
106,Hard,19:08:34,Sebastes hopkinsi,1.0
106,Hard,19:08:37,Unidentified Sebastes sp.,1.0
106,Hard,19:08:41,Unidentified Sebastes sp.,2.0
106,Hard,19:09:04,Unidentified Sebastes sp.,51.0
