Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,Transect_ID,Habitat_Type,Lat,Lon,Depth (m),Cumulative_Dist (m),Cumulative_Area (m2),TC,Sec,Taxserial,CommonName,SpeciesName,Count,Unusable_Data,Field2
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56882117,-121.9928169,98.9,88,166.42,15:28:21,278090901,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard_Mixed,36.56889111,-121.9929266,98,100.52,187.79,15:28:34,278090914,157360,Basket star,Gorgonocephalus eucnemis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56891467,-121.9929677,98.6,105.02,195.26,15:28:39,278090919,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56891467,-121.9929677,98.6,105.02,195.26,15:28:39,278090919,157360,Basket star,Gorgonocephalus eucnemis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56892939,-121.9929929,98.6,107.79,200.56,15:28:42,278090922,157152,UI Henricia,Unidentified Henricia sp.,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56896573,-121.9930521,98.4,114.43,212.49,15:28:49,278090929,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56899591,-121.9930877,98.5,119.04,219.99,15:28:54,278090934,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56900751,-121.9930953,98.05,120.49,221.63,15:28:56,278090936,157011,Red sea star,Mediaster aequalis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56901884,-121.9931026,98.1,121.9,223.21,15:28:58,278090938,157152,UI Henricia,Unidentified Henricia sp.,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56902469,-121.9931056,97.3,122.6,224.46,15:28:59,278090939,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56903649,-121.9931095,97.2,123.94,226.59,15:29:01,278090941,27,UI boot sponge,Unidentified Porifera (boot),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56906428,-121.9931113,96.7,127.11,232.05,15:29:06,278090946,157011,Red sea star,Mediaster aequalis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56931952,-121.9930478,92.3,156.14,287.82,15:29:46,278090986,157011,Red sea star,Mediaster aequalis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56934202,-121.9930483,94.1,158.62,291.36,15:29:50,278090990,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56941193,-121.9930619,92.9,166.49,306.68,15:30:03,278091003,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56944498,-121.9930602,92.4,170.15,312.72,15:30:08,278091008,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56948067,-121.9930525,94.1,174.21,318.83,15:30:15,278091015,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56949551,-121.9930595,92.6,175.96,321.98,15:30:18,278091018,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56950995,-121.9930675,92.7,177.7,325.11,15:30:21,278091021,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.56950995,-121.9930675,92.7,177.7,325.11,15:30:21,278091021,156866,Sand star,Luidia foliolata,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard_Mixed,36.56957555,-121.9931204,91.65,186.38,344.12,15:30:33,278091033,156866,Sand star,Luidia foliolata,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.56972281,-121.9932008,85.9,204.18,384.24,15:31:06,278091066,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57001404,-121.9933894,88.1,237.78,455.02,15:32:00,278091120,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.57012502,-121.9934001,88.6,250.09,482.82,15:32:16,278091136,157011,Red sea star,Mediaster aequalis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.57016629,-121.9934087,89.4,254.71,490.54,15:32:22,278091142,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57020487,-121.9934229,87.1,259.17,499.52,15:32:30,278091150,157011,Red sea star,Mediaster aequalis,3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57024226,-121.9934368,86.4,263.48,508.18,15:32:36,278091156,719219,Short red gorgonian,Swiftia spauldingi,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.5702655,-121.9934396,86.5,266.05,513.37,15:32:40,278091160,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57031463,-121.9934398,88.6,271.46,526.76,15:32:50,278091170,157011,Red sea star,Mediaster aequalis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57034129,-121.9934484,89.3,274.46,530.56,15:32:59,278091179,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57034718,-121.9934508,86.5,275.14,532.7,15:33:01,278091181,719219,Short red gorgonian,Swiftia spauldingi,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard_Mixed,36.57037956,-121.9934643,88.4,278.88,542.38,15:33:12,278091192,157011,Red sea star,Mediaster aequalis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57041152,-121.9935205,86.5,285.42,555.71,15:33:31,278091211,611869,Fish-eating anemone,Urticina piscivora,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57042944,-121.9935447,84.8,288.4,560.96,15:33:39,278091219,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57043848,-121.9935506,84.7,289.52,562.72,15:33:42,278091222,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57044717,-121.9935558,84.2,290.58,565.15,15:33:44,278091224,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57048778,-121.9935776,82.1,295.59,574.92,15:33:56,278091236,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57049548,-121.993581,81.6,296.49,576.22,15:33:58,278091238,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57049548,-121.993581,81.6,296.49,576.22,15:33:58,278091238,157152,UI Henricia,Unidentified Henricia sp.,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.5704996,-121.9935828,80.7,296.97,576.9,15:33:59,278091239,157251,Pisaster complex,"Pisaster brevispinus, ochraceus, or giganteus",1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57050353,-121.9935848,78.5,297.44,577.9,15:34:00,278091240,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57053225,-121.9935852,79,300.62,585.89,15:34:06,278091246,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57055617,-121.9935834,79.5,303.3,590.45,15:34:10,278091250,719219,Short red gorgonian,Swiftia spauldingi,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57059107,-121.9935823,78,307.17,595.24,15:34:16,278091256,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57060306,-121.9935809,77.6,308.49,596.96,15:34:18,278091258,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57060306,-121.9935809,77.6,308.49,596.96,15:34:18,278091258,57,UI branched sponge,Unidentified Porifera (branched),2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57061569,-121.9935808,77.3,309.88,598.75,15:34:20,278091260,719219,Short red gorgonian,Swiftia spauldingi,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57065444,-121.9935801,75.7,314.17,607.85,15:34:26,278091266,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57065444,-121.9935801,75.7,314.17,607.85,15:34:26,278091266,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.5706655,-121.9935756,77.8,315.45,609.73,15:34:28,278091268,719219,Short red gorgonian,Swiftia spauldingi,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.5707043,-121.993563,78.1,319.92,616.7,15:34:37,278091277,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.57076399,-121.9935665,82.4,0,0,15:34:56,278091296,719219,Short red gorgonian,Swiftia spauldingi,2,X,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57101057,-121.9937897,89.3,336.78,653.38,15:35:54,278091354,719219,Short red gorgonian,Swiftia spauldingi,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57101577,-121.9937945,89.9,337.5,654.28,15:35:56,278091356,719219,Short red gorgonian,Swiftia spauldingi,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57102641,-121.9938015,87.2,338.82,655.9,15:35:59,278091359,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57103683,-121.9938071,87.2,340.07,657.21,15:36:02,278091362,227,Mushroom soft coral,Anthomastus ritteri /syn./ Heteropolypus ritteri,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.5710399,-121.9938071,86.3,340.41,657.61,15:36:03,278091363,719219,Short red gorgonian,Swiftia spauldingi,3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57104787,-121.993806,86.3,341.29,658.52,15:36:05,278091365,719219,Short red gorgonian,Swiftia spauldingi,4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57105289,-121.9938073,86.9,341.86,659.1,15:36:06,278091366,719219,Short red gorgonian,Swiftia spauldingi,5,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57106271,-121.9938112,87.1,342.99,661.59,15:36:08,278091368,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57112164,-121.9937915,84.1,349.88,675.75,15:36:28,278091388,719219,Short red gorgonian,Swiftia spauldingi,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57115214,-121.9937891,83.5,353.24,682.08,15:36:36,278091396,719219,Short red gorgonian,Swiftia spauldingi,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.5711765,-121.9937843,83.5,355.97,687.9,15:36:40,278091400,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57119853,-121.9937833,81.9,358.41,691.95,15:36:43,278091403,719219,Short red gorgonian,Swiftia spauldingi,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57121812,-121.9937795,82.4,360.6,695.45,15:36:46,278091406,719219,Short red gorgonian,Swiftia spauldingi,4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57122985,-121.993777,82.6,361.91,697.11,15:36:48,278091408,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.5712353,-121.9937759,80.6,362.52,697.88,15:36:49,278091409,719219,Short red gorgonian,Swiftia spauldingi,3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57125514,-121.9937702,81.9,364.76,701.85,15:36:53,278091413,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57127318,-121.993766,81.6,366.79,704.87,15:36:57,278091417,97,UI sea star,Unidentified Asteroidea,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57128171,-121.9937645,83,367.74,706.78,15:36:59,278091419,719219,Short red gorgonian,Swiftia spauldingi,4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57129011,-121.9937658,82,0,0,15:37:01,278091421,157011,Red sea star,Mediaster aequalis,1,X,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57150512,-121.9938874,86.3,391.21,768.01,15:37:45,278091465,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.5715248,-121.9938994,83.7,393.63,772.69,15:37:48,278091468,719219,Short red gorgonian,Swiftia spauldingi,6,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57155527,-121.9939196,83.5,397.45,782.07,15:37:53,278091473,719222,Red gorgonian,Leptogorgia chilensis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57156246,-121.9939255,82.6,398.4,784.49,15:37:54,278091474,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57157715,-121.9939386,82.8,400.4,789.97,15:37:56,278091476,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57160447,-121.9939613,82.4,404.03,796.88,15:38:00,278091480,719219,Short red gorgonian,Swiftia spauldingi,4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57161718,-121.9939703,81.9,405.64,798.67,15:38:02,278091482,719219,Short red gorgonian,Swiftia spauldingi,6,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57162879,-121.9939791,82.6,407.14,800.82,15:38:04,278091484,719219,Short red gorgonian,Swiftia spauldingi,6,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57165837,-121.994016,83.5,411.83,814.54,15:38:10,278091490,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57168565,-121.9940557,83.5,416.47,825.65,15:38:18,278091498,719219,Short red gorgonian,Swiftia spauldingi,3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57169276,-121.9940632,85,417.49,826.96,15:38:20,278091500,719219,Short red gorgonian,Swiftia spauldingi,6,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57169964,-121.9940752,82.9,418.8,829.21,15:38:22,278091502,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57170362,-121.9940831,82.8,419.63,831.37,15:38:23,278091503,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57170767,-121.99409,82.9,420.39,833.75,15:38:24,278091504,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57172911,-121.9941158,83.7,423.72,842.06,15:38:29,278091509,719219,Short red gorgonian,Swiftia spauldingi,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Soft,36.57183519,-121.9941878,86.4,431.23,860.85,15:38:47,278091527,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57202604,-121.9942177,82.8,453.4,911.41,15:39:19,278091559,719219,Short red gorgonian,Swiftia spauldingi,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,430,1300,CCMPA 2008_430_1300,Hard,36.57204974,-121.9942134,81.9,456.05,915.16,15:39:22,278091562,157011,Red sea star,Mediaster aequalis,1,,
