,MPA,Designation,Substrate,Proportion,Error,Total distance,Transect distance in meters,Percentage
87,Pillar Point,MPA,Soft,0.154398854,0.035045555,1965.262721,303.4343119,15.44%
88,Point Arena,MPA,Soft,0.336337176,0.063738328,8443.086369,2839.723826,33.63%
89,Point Buchon,MPA,Soft,0.298253116,0.032480856,28379.47435,8464.266657,29.83%
90,Point Conception,MPA,Soft,0.940248469,0.029406035,5844.265706,5495.061882,94.02%
91,Point Lobos,MPA,Soft,0.33795707,0.026672873,28301.37348,9564.649258,33.80%
92,Point St. George,MPA,Soft,0.489979746,0.064892284,13154.45251,6445.415298,49.00%
93,Point Sur,MPA,Soft,0.107053666,0.018775759,24633.71282,2637.129265,10.71%
94,Portuguese Ledge,MPA,Soft,0.438705008,0.082600858,3149.530062,1381.714611,43.87%
95,Reading Rock,MPA,Soft,0.280430566,0.095246542,11062.03886,3102.133818,28.04%
96,Sea Lion Gulch,MPA,Soft,0.159006939,0.020222528,5306.884182,843.8314093,15.90%
97,South La Jolla,MPA,Soft,0.699163093,0.076418051,4638.559377,3243.109521,69.92%
98,South Point,MPA,Soft,0.568005273,0.015567468,54131.38455,30746.91186,56.80%
99,Swami's,MPA,Soft,0.874308315,0.055478344,2934.874112,2565.984839,87.43%
100,Ten Mile,MPA,Soft,0.551560229,0.06785006,12737.46919,7025.481425,55.16%
101,Anacapa Island,Reference,Hard,0,0,0,0,0.00%
102,Ano Nuevo,Reference,Hard,0.571765006,0.105297453,2449.340515,1400.447194,57.18%
103,Big Creek,Reference,Hard,0.526460803,0.055248919,9398.107484,4947.735213,52.65%
104,Bodega Bay,Reference,Hard,0.726102093,0.037374534,13339.35138,9685.730958,72.61%
105,Campus Point,Reference,Hard,0.033512885,0.025473386,3075.122602,103.0562301,3.35%
106,Carrington Point,Reference,Hard,0.311077572,0.018786805,42331.29936,13168.31782,31.11%
107,Farallon Islands,Reference,Hard,0.719149269,0.038773139,10060.00115,7234.642474,71.91%
108,Farnsworth,Reference,Hard,0.153159953,0.034420424,6994.5167,1071.279849,15.32%
109,Gull Island,Reference,Hard,0.270370499,0.018910629,65206.8791,17630.01644,27.04%
110,Harris Point,Reference,Hard,0.769028716,0.021937314,30209.42413,23231.91465,76.90%
111,N/A,Reference,Hard,0,0,0,0,0.00%
112,Pillar Point,Reference,Hard,0.596636558,0.084698806,3875.222492,2312.099409,59.66%
113,Point Arena,Reference,Hard,0.591941483,0.111392939,5229.88934,3095.788452,59.19%
114,Point Buchon,Reference,Hard,0.718880324,0.040961881,18363.02239,13200.81549,71.89%
115,Point Conception,Reference,Hard,0.280893337,0.240263153,2516.286084,706.8079949,28.09%
116,Point Lobos,Reference,Hard,0.608557165,0.030637164,13512.73145,8223.269543,60.86%
117,Point St. George,Reference,Hard,0.68033598,0.065971125,10225.55155,6956.810637,68.03%
118,Point Sur,Reference,Hard,0.834745699,0.033305894,7916.207943,6608.020533,83.47%
119,Portuguese Ledge,Reference,Hard,0.195338003,0.034317937,3033.771372,592.6108413,19.53%
120,Reading Rock,Reference,Hard,0.826697194,0.052883072,11490.02564,9498.771957,82.67%
121,Sea Lion Gulch,Reference,Hard,0.549832686,0.129997766,4539.275775,2495.842192,54.98%
122,South La Jolla,Reference,Hard,0.145971146,0.035924948,4931.350082,719.8348228,14.60%
123,South Point,Reference,Hard,0.353148326,0.018791549,42328.21245,14948.13737,35.31%
124,Swami's,Reference,Hard,0.048108834,0.013386392,4221.394692,203.0863765,4.81%
125,Ten Mile,Reference,Hard,0.578901702,0.039070017,11862.22721,6867.063524,57.89%
126,Anacapa Island,Reference,Hard_Mixed,0,0,0,0,0.00%
127,Ano Nuevo,Reference,Hard_Mixed,0.232990653,0.053460846,2449.340515,570.6734461,23.30%
128,Big Creek,Reference,Hard_Mixed,0.18497394,0.021904151,9398.107484,1738.40497,18.50%
129,Bodega Bay,Reference,Hard_Mixed,0.111262151,0.017062678,13339.35138,1484.164928,11.13%
130,Campus Point,Reference,Hard_Mixed,0.082969011,0.046566009,3075.122602,255.139881,8.30%
131,Carrington Point,Reference,Hard_Mixed,0.383775594,0.019526906,42331.29936,16245.71956,38.38%
132,Farallon Islands,Reference,Hard_Mixed,0.11728342,0.011159339,10060.00115,1179.87134,11.73%
133,Farnsworth,Reference,Hard_Mixed,0.131818378,0.020293695,6994.5167,922.0058463,13.18%
134,Gull Island,Reference,Hard_Mixed,0.217396341,0.012516588,65206.8791,14175.73692,21.74%
135,Harris Point,Reference,Hard_Mixed,0.152419547,0.013166107,30209.42413,4604.506742,15.24%
136,N/A,Reference,Hard_Mixed,0,0,0,0,0.00%
137,Pillar Point,Reference,Hard_Mixed,0.141895003,0.027612025,3875.222492,549.8747071,14.19%
138,Point Arena,Reference,Hard_Mixed,0.072978928,0.013719726,5229.88934,381.6717176,7.30%
139,Point Buchon,Reference,Hard_Mixed,0.100509851,0.011871393,18363.02239,1845.664645,10.05%
140,Point Conception,Reference,Hard_Mixed,0.0185578,0.006291859,2516.286084,46.69673389,1.86%
141,Point Lobos,Reference,Hard_Mixed,0.161104374,0.012710087,13512.73145,2176.960141,16.11%
142,Point St. George,Reference,Hard_Mixed,0.098825762,0.016722079,10225.55155,1010.547924,9.88%
143,Point Sur,Reference,Hard_Mixed,0.099718917,0.021131586,7916.207943,789.3956828,9.97%
144,Portuguese Ledge,Reference,Hard_Mixed,0.040262549,0.011022057,3033.771372,122.1473685,4.03%
145,Reading Rock,Reference,Hard_Mixed,0.078573325,0.027927211,11490.02564,902.809519,7.86%
146,Sea Lion Gulch,Reference,Hard_Mixed,0.202369003,0.074642214,4539.275775,918.6087129,20.24%
147,South La Jolla,Reference,Hard_Mixed,0.242911363,0.056705121,4931.350082,1197.88097,24.29%
148,South Point,Reference,Hard_Mixed,0.3035012,0.015600214,42328.21245,12846.66327,30.35%
149,Swami's,Reference,Hard_Mixed,0.242633416,0.056018588,4221.394692,1024.251415,24.26%
150,Ten Mile,Reference,Hard_Mixed,0.137546611,0.017929988,11862.22721,1631.609152,13.75%
151,Anacapa Island,Reference,Soft_Mixed,0,0,0,0,0.00%
152,Ano Nuevo,Reference,Soft_Mixed,0,0,2449.340515,0,0.00%
153,Big Creek,Reference,Soft_Mixed,0.01431788,0.009070189,9398.107484,134.5609752,1.43%
154,Bodega Bay,Reference,Soft_Mixed,0.010263204,0.002056105,13339.35138,136.9044845,1.03%
155,Campus Point,Reference,Soft_Mixed,0.023631301,0.013257065,3075.122602,72.66914782,2.36%
156,Carrington Point,Reference,Soft_Mixed,0.029937691,0.005250658,42331.29936,1267.30136,2.99%
157,Farallon Islands,Reference,Soft_Mixed,0.02254804,0.005193805,10060.00115,226.8333083,2.25%
158,Farnsworth,Reference,Soft_Mixed,0,0,6994.5167,0,0.00%
159,Gull Island,Reference,Soft_Mixed,0.030019062,0.004897838,65206.8791,1957.449346,3.00%
160,Harris Point,Reference,Soft_Mixed,0.014844573,0.00307502,30209.42413,448.4460019,1.48%
161,N/A,Reference,Soft_Mixed,0,0,0,0,0.00%
162,Pillar Point,Reference,Soft_Mixed,0.017635258,0.00394699,3875.222492,68.34054845,1.76%
163,Point Arena,Reference,Soft_Mixed,0.025280056,0.020455917,5229.88934,132.2118954,2.53%
164,Point Buchon,Reference,Soft_Mixed,0.019706096,0.007206463,18363.02239,361.8634821,1.97%
165,Point Conception,Reference,Soft_Mixed,0.165128258,0.138108605,2516.286084,415.5099377,16.51%
166,Point Lobos,Reference,Soft_Mixed,0.032524225,0.024133899,13512.73145,439.491118,3.25%
167,Point St. George,Reference,Soft_Mixed,0.027518671,0.004748677,10225.55155,281.393589,2.75%
168,Point Sur,Reference,Soft_Mixed,0.016441668,0.004981728,7916.207943,130.1556628,1.64%
169,Portuguese Ledge,Reference,Soft_Mixed,0,0,3033.771372,0,0.00%
170,Reading Rock,Reference,Soft_Mixed,0.086137083,0.039824169,11490.02564,989.7172923,8.61%
171,Sea Lion Gulch,Reference,Soft_Mixed,0.125145103,0,4539.275775,568.0681344,12.51%
172,South La Jolla,Reference,Soft_Mixed,0.008597386,0.004899144,4931.350082,42.39672016,0.86%
173,South Point,Reference,Soft_Mixed,0.020495277,0.005115112,42328.21245,867.5284391,2.05%
174,Swami's,Reference,Soft_Mixed,0,0,4221.394692,0,0.00%
175,Ten Mile,Reference,Soft_Mixed,0.008564758,0,11862.22721,101.5971054,0.86%
176,Anacapa Island,Reference,Soft,0,0,0,0,0.00%
177,Ano Nuevo,Reference,Soft,0.195244341,0.074037903,2449.340515,478.2198748,19.52%
178,Big Creek,Reference,Soft,0.299985039,0.051825887,9398.107484,2819.29164,30.00%
179,Bodega Bay,Reference,Soft,0.16533833,0.036477386,13339.35138,2205.506081,16.53%
180,Campus Point,Reference,Soft,0.933199687,0.045145376,3075.122602,2869.70345,93.32%
181,Carrington Point,Reference,Soft,0.296831494,0.020853223,42331.29936,12565.26283,29.68%
182,Farallon Islands,Reference,Soft,0.183312516,0.036437136,10060.00115,1844.124122,18.33%
183,Farnsworth,Reference,Soft,0.744230888,0.045640175,6994.5167,5205.535375,74.42%
184,Gull Island,Reference,Soft,0.512292703,0.01945502,65206.8791,33405.00835,51.23%
185,Harris Point,Reference,Soft,0.08511922,0.01760059,30209.42413,2571.402619,8.51%
186,N/A,Reference,Soft,0,0,0,0,0.00%
187,Pillar Point,Reference,Soft,0.254855217,0.078944902,3875.222492,987.6206691,25.49%
188,Point Arena,Reference,Soft,0.358475525,0.106600255,5229.88934,1874.787327,35.85%
189,Point Buchon,Reference,Soft,0.18877126,0.04083342,18363.02239,3466.410874,18.88%
190,Point Conception,Reference,Soft,0.82670267,0.114664704,2516.286084,2080.220424,82.67%
191,Point Lobos,Reference,Soft,0.231595357,0.029312153,13512.73145,3129.485864,23.16%
192,Point St. George,Reference,Soft,0.42127641,0.101097791,10225.55155,4307.783649,42.13%
193,Point Sur,Reference,Soft,0.066534077,0.022264509,7916.207943,526.6975888,6.65%
194,Portuguese Ledge,Reference,Soft,0.803666206,0.048781039,3033.771372,2438.139528,80.37%
195,Reading Rock,Reference,Soft,0.331296051,0.118594811,11490.02564,3806.600121,33.13%
196,Sea Lion Gulch,Reference,Soft,0.329629814,0.143587427,4539.275775,1496.280629,32.96%
197,South La Jolla,Reference,Soft,0.609398013,0.076216512,4931.350082,3005.154942,60.94%
198,South Point,Reference,Soft,0.344976431,0.021172705,42328.21245,14602.23566,34.50%
199,Swami's,Reference,Soft,0.730639454,0.05802478,4221.394692,3084.317513,73.06%
200,Ten Mile,Reference,Soft,0.433932134,0.076825428,11862.22721,5147.401569,43.39%
